1839  kms.erfiy.com:8000
1439k  27.10.215.110:8008
1423k  211.158.154.196:8004
1410k  211.158.154.196:8003
1390k  211.158.152.104:8007
1384k  27.10.77.52:8004
1380k  211.158.154.196:8005
1363k  211.158.154.196:8008
1339k  211.158.152.104:8004
1335k  211.158.152.104:8005
1329k  211.158.154.196:8002
1317k  211.158.152.104:8002
1297k  27.10.215.110:8002
1280k  211.158.152.104:8001
1275k  27.10.77.52:8002
1272k  27.10.77.52:8007
1271k  27.10.77.52:8005
1242k  27.10.77.52:8008
1234k  27.10.77.52:8003
1234k  27.10.77.52:8001
1221k  211.158.154.196:8007
1203k  211.158.154.196:8001
1190k  27.10.215.110:8001
1169k  27.10.215.110:8007
1096k  27.10.215.110:8003
997k  27.10.215.110:8004
974k  211.158.152.104:8008
940k  27.10.215.110:8005
855k  211.158.152.104:8003
268k  27.11.105.128:8003
250k  123.145.57.77:8005
192k  123.145.57.77:8003
168k  27.11.105.128:8002
153k  27.11.105.128:8001
147k  123.145.57.77:8002
131k  123.145.57.77:8004
124  kms.erfiy.com:8001
101k  123.145.57.77:8001
