1041k  223.10.115.195:8082
1038k  223.10.39.207:8082
1030k  223.10.39.207:8083
1027k  223.10.115.195:8083
936k  223.12.113.32:8082
895k  223.12.113.32:8084
616k  1.70.34.145:8084
595k  1.70.34.145:8085
592k  223.12.113.32:8083
487k  1.70.34.145:8082
353k  1.70.34.145:8083
332k  110.178.52.91:8085
273k  110.178.52.208:8083
253k  110.178.52.91:8083
236k  110.178.52.91:8082
162k  110.178.52.208:8082
122k  110.178.52.208:8085
106k  113.26.166.143:8083
101k  223.10.13.103:8085
98k  223.10.13.103:8083
